ProductKey,ProductSubcategoryKey,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductSize,ProductStyle,ProductCost,ProductPrice
214,31,HL,Sport-100,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Red,0,0,13.0863,34.99
215,31,HL,Sport-100,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Black,0,0,12.0278,33.6442
218,23,SO,Mountain,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,White,M,U,3.3963,9.5
219,23,SO,Mountain,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,White,L,U,3.3963,9.5
220,31,HL,Sport-100,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Blue,0,0,12.0278,33.6442
223,19,CA,AWC,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Multi,0,U,5.7052,8.6442
226,21,LJ,Long-Sleeve,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,S,U,31.7244,48.0673
229,21,LJ,Long-Sleeve,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,M,U,31.7244,48.0673
232,21,LJ,Long-Sleeve,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,L,U,31.7244,48.0673
235,21,LJ,Long-Sleeve,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,XL,U,31.7244,48.0673
238,14,FR,HL,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,62,U,747.9682,1263.4598
241,14,FR,HL,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,44,U,747.9682,1263.4598
244,14,FR,HL,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,48,U,747.9682,1263.4598
247,14,FR,HL,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,52,U,747.9682,1263.4598
250,14,FR,HL,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,56,U,747.9682,1263.4598
253,14,FR,LL,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,58,U,176.1997,297.6346
256,14,FR,LL,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,60,U,176.1997,297.6346
259,14,FR,LL,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,62,U,176.1997,297.6346
262,14,FR,LL,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,44,U,181.4857,306.5636
264,14,FR,LL,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,48,U,181.4857,306.5636
266,14,FR,LL,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,52,U,181.4857,306.5636
268,14,FR,LL,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,58,U,181.4857,306.5636
270,14,FR,LL,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,60,U,181.4857,306.5636
272,14,FR,LL,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,62,U,181.4857,306.5636
274,14,FR,ML,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,44,U,352.1394,594.83
275,14,FR,ML,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,48,U,352.1394,594.83
276,14,FR,ML,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,52,U,352.1394,594.83
277,14,FR,ML,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,58,U,352.1394,594.83
278,14,FR,ML,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,60,U,352.1394,594.83
279,14,FR,LL,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,44,U,176.1997,297.6346
282,14,FR,LL,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,48,U,176.1997,297.6346
285,14,FR,LL,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,52,U,176.1997,297.6346
288,12,FR,HL,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,42,U,623.8403,1204.3248
291,12,FR,HL,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,44,U,706.811,1364.5
292,12,FR,HL,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,48,U,706.811,1364.5
293,12,FR,HL,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,46,U,623.8403,1204.3248
296,12,FR,HL,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,42,U,617.0281,1191.1739
299,12,FR,HL,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,44,U,699.0928,1349.6
300,12,FR,HL,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,48,U,699.0928,1349.6
301,12,FR,HL,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,46,U,617.0281,1191.1739
304,12,FR,HL,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,38,U,617.0281,1191.1739
307,12,FR,HL,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,38,U,623.8403,1204.3248
310,2,BK,Road-150,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,62,U,2171.2942,3578.27
311,2,BK,Road-150,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,44,U,2171.2942,3578.27
312,2,BK,Road-150,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,48,U,2171.2942,3578.27
313,2,BK,Road-150,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,52,U,2171.2942,3578.27
314,2,BK,Road-150,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,56,U,2171.2942,3578.27
315,2,BK,Road-450,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,58,U,884.7083,1457.99
316,2,BK,Road-450,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,60,U,884.7083,1457.99
317,2,BK,Road-450,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,44,U,884.7083,1457.99
318,2,BK,Road-450,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,48,U,884.7083,1457.99
319,2,BK,Road-450,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,52,U,884.7083,1457.99
320,2,BK,Road-650,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,58,U,413.1463,699.0982
322,2,BK,Road-650,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,60,U,413.1463,699.0982
324,2,BK,Road-650,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,62,U,413.1463,699.0982
326,2,BK,Road-650,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,44,U,413.1463,699.0982
328,2,BK,Road-650,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,48,U,413.1463,699.0982
330,2,BK,Road-650,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,52,U,413.1463,699.0982
332,2,BK,Road-650,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,58,U,413.1463,699.0982
334,2,BK,Road-650,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,60,U,413.1463,699.0982
336,2,BK,Road-650,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,62,U,413.1463,699.0982
338,2,BK,Road-650,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,44,U,413.1463,699.0982
340,2,BK,Road-650,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,48,U,413.1463,699.0982
342,2,BK,Road-650,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,52,U,413.1463,699.0982
344,1,BK,Mountain-100,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,38,U,1912.1544,3399.99
345,1,BK,Mountain-100,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,42,U,1912.1544,3399.99
346,1,BK,Mountain-100,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,44,U,1912.1544,3399.99
347,1,BK,Mountain-100,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,48,U,1912.1544,3399.99
348,1,BK,Mountain-100,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,38,U,1898.0944,3374.99
349,1,BK,Mountain-100,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,42,U,1898.0944,3374.99
350,1,BK,Mountain-100,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,44,U,1898.0944,3374.99
351,1,BK,Mountain-100,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,48,U,1898.0944,3374.99
352,1,BK,Mountain-200,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,38,U,1117.8559,2071.4196
354,1,BK,Mountain-200,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,42,U,1117.8559,2071.4196
356,1,BK,Mountain-200,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,46,U,1117.8559,2071.4196
358,1,BK,Mountain-200,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,38,U,1105.81,2049.0982
360,1,BK,Mountain-200,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,42,U,1105.81,2049.0982
362,1,BK,Mountain-200,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,46,U,1105.81,2049.0982
364,1,BK,Mountain-300,Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,38,U,598.4354,1079.99
365,1,BK,Mountain-300,Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,40,U,598.4354,1079.99
366,1,BK,Mountain-300,Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,44,U,598.4354,1079.99
367,1,BK,Mountain-300,Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,48,U,598.4354,1079.99
368,2,BK,Road-250,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,44,U,1518.7864,2443.35
369,2,BK,Road-250,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,48,U,1518.7864,2443.35
370,2,BK,Road-250,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,52,U,1518.7864,2443.35
371,2,BK,Road-250,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,58,U,1320.6838,2181.5625
373,2,BK,Road-250,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,44,U,1320.6838,2181.5625
375,2,BK,Road-250,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,48,U,1320.6838,2181.5625
377,2,BK,Road-250,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,52,U,1320.6838,2181.5625
379,2,BK,Road-250,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,58,U,1320.6838,2181.5625
381,2,BK,Road-550-W,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,38,W,605.6492,1000.4375
383,2,BK,Road-550-W,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,40,W,605.6492,1000.4375
385,2,BK,Road-550-W,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,42,W,605.6492,1000.4375
387,2,BK,Road-550-W,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,44,W,605.6492,1000.4375
389,2,BK,Road-550-W,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,48,W,605.6492,1000.4375
391,10,FK,LL,LL Fork,Stout design absorbs shock and offers more precise steering.,NA,0,0,65.8097,148.22
392,10,FK,ML,ML Fork,Composite road fork with an aluminum steerer tube.,NA,0,0,77.9176,175.49
393,10,FK,HL,HL Fork,High-performance carbon road fork with curved legs.,NA,0,0,101.8936,229.49
394,11,HS,LL,LL Headset,Threadless headset provides quality at an economical price.,NA,0,0,15.1848,34.2
395,11,HS,ML,ML Headset,Sealed cartridge keeps dirt out.,NA,0,0,45.4168,102.29
396,11,HS,HL,HL Headset,"""High-quality 1"""" threadless headset with a grease port for quick lubrication.""",NA,0,0,55.3801,124.73
397,4,HB,LL,LL Mountain Handlebars,All-purpose bar for on or off-road.,NA,0,0,17.978,40.4909
399,4,HB,ML,ML Mountain Handlebars,Tough aluminum alloy bars for downhill.,NA,0,0,24.9932,56.2909
401,4,HB,HL,HL Mountain Handlebars,Flat bar strong enough for the pro circuit.,NA,0,0,48.5453,109.3364
403,4,HB,LL,LL Road Handlebars,Unique shape provides easier reach to the levers.,NA,0,0,17.978,40.4909
405,4,HB,ML,ML Road Handlebars,Anatomically shaped aluminum tube bar will suit all riders.,NA,0,0,24.9932,56.2909
407,4,HB,HL,HL Road Handlebars,Designed for racers; high-end anatomically shaped bar from aluminum alloy.,NA,0,0,48.5453,109.3364
409,12,FR,ML,ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,Black,38,U,185.8193,348.76
410,17,FW,LL,LL Mountain Front Wheel,Replacement mountain wheel for entry-level rider.,Black,0,0,26.9708,60.745
411,17,FW,ML,ML Mountain Front Wheel,Replacement mountain wheel for the casual to serious rider.,Black,0,0,92.8071,209.025
412,17,FW,HL,HL Mountain Front Wheel,High-performance mountain replacement wheel.,Black,0,0,133.2955,300.215
413,17,FW,LL,LL Road Front Wheel,Replacement road front wheel for entry-level cyclist.,Black,0,0,37.9909,85.565
414,17,FW,ML,ML Road Front Wheel,Sturdy alloy features a quick-release hub.,Black,0,0,110.2829,248.385
415,17,FW,HL,HL Road Front Wheel,Strong wheel with double-walled rim.,Black,0,0,146.5466,330.06
416,17,FW,Touring,Touring Front Wheel,Aerodynamic rims for smooth riding.,Black,0,0,96.7964,218.01
417,14,FR,ML,ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,38,W,300.1188,540.7545
419,17,RW,LL,LL Mountain Rear Wheel,Replacement mountain wheel for entry-level rider.,Black,0,0,38.9588,87.745
420,17,RW,ML,ML Mountain Rear Wheel,Replacement mountain wheel for the casual to serious rider.,Black,0,0,104.7951,236.025
421,17,RW,HL,HL Mountain Rear Wheel,High-performance mountain replacement wheel.,Black,0,0,145.2835,327.215
422,17,RW,LL,LL Road Rear Wheel,Replacement road rear wheel for entry-level cyclist.,Black,0,0,49.9789,112.565
423,17,RW,ML,ML Road Rear Wheel,Aluminum alloy rim with stainless steel spokes; built for speed.,Black,0,0,122.2709,275.385
424,17,RW,HL,HL Road Rear Wheel,Strong rear wheel with double-walled rim.,Black,0,0,158.5346,357.06
425,17,RW,Touring,Touring Rear Wheel,Excellent aerodynamic rims guarantee a smooth ride.,Black,0,0,108.7844,245.01
426,12,FR,ML,ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Black,40,U,185.8193,348.76
427,12,FR,ML,ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Black,44,U,185.8193,348.76
428,12,FR,ML,ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Black,48,U,185.8193,348.76
429,14,FR,ML,ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,40,W,300.1188,540.7545
431,14,FR,ML,ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,42,W,300.1188,540.7545
433,14,FR,ML,ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,44,W,300.1188,540.7545
435,14,FR,ML,ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,48,W,300.1188,540.7545
437,14,FR,HL,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,62,U,722.2568,1301.3636
439,14,FR,HL,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,44,U,722.2568,1301.3636
